input_addr;input_cep;output_addr_1;output_addr_2;output_addr_3;output_addr_cep_1;output_addr_cep_2;output_addr_cep_3;lat1;lon1;lat2;lon2;lat3;lon3
AVENIDA A DISTRITO INDUSTRIAL CAMPINAS SP 13054712 BRASIL;13054712;13054 CAMPINAS SAO PAULO;BRAZIL;SP075 DISTRITO INDUSTRIAL CAMPINAS SP 13050009 BRASIL;NA;NA;13050009;-22,99891464;-47,12534289;-10,33333302;-53,20000076;-23,00864;-47,11482
RUA A NOVO TAQUARAL CAMPINAS SP 13077109 BRASIL;13077109;RUA NOVE CAMPINAS SAO PAULO 13086700;RUA NOVO HORIZONTE TAQUARAL CAMPINAS SAO PAULO 13090670 BRAZIL;TAQUARAL CAMPINAS SP BRASIL;13086700;13090670;13076061;-22,79913;-47,04186998;-22,88920014;-47,04456029;-22,88508;-47,05498
VIELA A JARDIM METONOPOLIS CAMPINAS SP 13058451 BRASIL;13058451;13058 CAMPINAS SAO PAULO;13058451 BRAZIL;JARDIM METONOPOLIS CAMPINAS SP BRASIL;NA;13058451;13058450;-22,9431205;-47,19282778;-22,98057938;-47,1652832;-22,95159;-47,18618
RUA A LOTEAMENTO CLAUDE DE BARROS PENTEADO SOUSAS CAMPINAS SP 13105244 BRASIL;13105244;13105 SOUSAS CAMPINAS SAO PAULO;RODOVIA DOUTOR HEITOR PENTEADO SOUSAS CAMPINAS SAO PAULO 13105000 BRAZIL;RUA NAZARIO BASILIO DE ALMEIDA SOUSAS CAMPINAS SP 13105617 BRASIL;NA;13105000;13105617;-22,88881445;-46,9775889;-22,89283345;-46,9938628;-22,88952;-46,97582
RUA A JARDIM ROSALIA IV CAMPINAS SP 13067750 BRASIL;13067750;RUA A CAMPINAS SAO PAULO 13067750;RUA A JARDIM SANTIAGO CAMPINAS SAO PAULO BRAZIL;RUA A CAMPINAS SP 13067750 BRASIL;13067750;NA;13067750;-22,876275;-47,15227503;-22,87631265;-47,15225295;-22,87627;-47,15227
RUA A CHACARAS SAO MARTINHO CAMPINAS SP 13042830 BRASIL;13042830;13042 CAMPINAS SAO PAULO;RUA A AVENIDA MARTINHO LUTERO OURO VERDE CAMPINAS SAO PAULO 13056 BRAZIL;CHACARAS SAO MARTINHO RUA GUILHERME HERCULANO P DE CAM CAMPINAS SP 13042836 BRASIL;NA;NA;13042836;-22,96935806;-47,042665;-22,9817545;-47,1404082;-22,97315;-47,03497
VIELA A NUCLEO RESIDENCIAL PARQUE PINHEIROS CAMPINAS SP 13067238 BRASIL;13067238;13067 CAMPINAS SAO PAULO;RUA JULIA LOPES PINHEIRO NOVA APARECIDA CAMPINAS SAO PAULO 13067358 BRAZIL;NUCLEO RESIDENCIAL PADRE JOSINO CAMPINAS SP BRASIL;NA;13067358;13067398;-23,03473416;-47,0946405;-22,86161355;-47,14705625;-22,86489;-47,14556
RUA A JARDIM MONTE LIBANO CAMPINAS SP 13046429 BRASIL;13046429;AVENIDA RAMO BJARDIM MONTE LIBANO CAMPINAS SAO PAULO 13046395;AVD JOAO ERBOLATO RUA MONTE LIBANO JARDIM CHAPADAO CAMPINAS SAO PAULO 13070070 BRAZIL;JARDIM MONTE LIBANO CAMPINAS SP BRASIL;13046395;13070070;13046420;-22,93796;-47,01355;-22,8867473;-47,0896113;-22,93771;-47,01418
RUA A SENSITIVA JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13060421 BRASIL;13060421;RUA A SENSITIVA CAMPINAS SAO PAULO 13060421;RUA A SENSITIVA JARDIM NOVO CAMPOS ELISEOS CAMPINAS SAO PAULO 13060421 BRAZIL;RUA A SENSITIVA JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13060421 BRASIL;13060421;13060421;13060421;-22,93388736;-47,1121762;-22,93386938;-47,11211702;-22,93389;-47,11219
RUA ABA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056502 BRASIL;13056502;RUA ABA CAMPINAS SAO PAULO 13056502;RUA ABA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SAO PAULO 13056502 BRAZIL;RUA ABA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056502 BRASIL;13056502;13056502;13056502;-22,96916444;-47,14998516;-22,9681281;-47,1499039;-22,96437;-47,14962
RUA ABACAI PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056481 BRASIL;13056481;RUA ABACAI CAMPINAS SAO PAULO 13056481;RUA ABACAI PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SAO PAULO 13056481 BRAZIL;RUA ABACAI PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056481 BRASIL;13056481;13056481;13056481;-22,97186705;-47,14263937;-22,9717375;-47,1390348;-22,97176;-47,14084
RUA DA NOSSA SENHORA ABADIA CONJUNTO HABITACIONAL PADRE ANCHIETA CAMPINAS SP 13068511 BRASIL;13068511;RUA NOSSA SENHORA DA ABADIA CAMPINAS SAO PAULO 13068511;RUA NOSSA SENHORA DA ABADIA VILA PADRE ANCHIETA CAMPINAS SAO PAULO 13068513 BRAZIL;RUA NOSSA SENHORA DA ABADIA COHAB PADRE ANCHIETA CAMPINAS SP 13068511 BRASIL;13068511;13068513;13068511;-22,86935;-47,15539004;-22,86931205;-47,1554336;-22,86935;-47,15539
RUA ABAETE PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056482 BRASIL;13056482;RUA ABAETE CAMPINAS SAO PAULO 13056482;RUA ABAETE PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SAO PAULO 13056482 BRAZIL;RUA ABAETE PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056482 BRASIL;13056482;13056482;13056482;-22,97126483;-47,14225228;-22,97121535;-47,1401272;-22,97126;-47,14223
RUA ABARE PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056470 BRASIL;13056470;RUA ABARE CAMPINAS SAO PAULO 13056470;RUA ABA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SAO PAULO 13056502 BRAZIL;RUA ABARE PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056470 BRASIL;13056470;13056502;13056470;-22,97093512;-47,14822803;-22,96386628;-47,14970391;-22,97094;-47,14823
RUA ABEL ANTONIO MENDANHA JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13050731 BRASIL;13050731;RUA ABEL ANTONIO MENDANHA CAMPINAS SAO PAULO 13050731;RUA ABEL ANTONIO MENDANHA JARDIM NOVO CAMPOS ELISEOS CAMPINAS SAO PAULO 13050731 BRAZIL;RUA ABEL ANTONIO MENDANHA JARDIM NOVO CAMPOS ELISEOS CAMPINAS SP 13050731 BRASIL;13050731;13050731;13050731;-22,94668698;-47,10750589;-22,94681106;-47,10773663;-22,94674;-47,10761
RUA ABEL JOSE BONOMI VILA SANTA ISABEL CAMPINAS SP 13084654 BRASIL;13084654;RUA ABEL JOSE BONOMI BARAO GERALDO CAMPINAS SAO PAULO 13084654;AVENIDA SAO JOSE DOS CAMPOS RUA SANTA ISABEL VILA IPE CAMPINAS SAO PAULO 13040145 BRAZIL;RUA ABEL JOSE BONOMI VILA SANTA ISABEL CAMPINAS SP 13084654 BRASIL;13084654;13040145;13084654;-22,81629984;-47,09444441;-22,9403929;-47,0519347;-22,8163;-47,09444
RUA ABEL LUIS FERREIRA JARDIM DO LAGO CAMPINAS SP 13050023 BRASIL;13050023;RUA ABEL LUIZ FERREIRA CAMPINAS SAO PAULO 13050023;RUA ABEL LUIS FERREIRA NUCLEO RESIDENCIAL JARDIM NOVOS CAMPOS ELISIOS CAMPINAS SAO PAULO 13050023 BRAZIL;RUA ABEL LUIZ FERREIRA JARDIM DO LAGO CAMPINAS SP 13050023 BRASIL;13050023;13050023;13050023;-22,93517119;-47,08719015;-22,9348017;-47,08652075;-22,93517;-47,08719
RUA ABEL PEREIRA DA SILVA JARDIM ITAGUACU II CAMPINAS SP 13053535 BRASIL;13053535;13053 CAMPINAS SAO PAULO;RUA EDSON PEREIRA DA SILVA PARQUE DO M DOM PEDRO II CAMPINAS SAO PAULO 13056630 BRAZIL;RUA MARIO JUNQUEIRA DA SILVA JARDIM EULINA CAMPINAS SP 13063000 BRASIL;NA;13056630;13063000;-23,023058;-47,13923934;-22,96346585;-47,13732085;-22,88675;-47,11324
RUA DOUTOR ABELARDO CERQUEIRA CESAR JARDIM BONFIM CAMPINAS SP 13032535 BRASIL;13032535;RUA DOUTOR ABELARDO CERQUEIRA CESAR CAMPINAS SAO PAULO 13032535;RUA DOUTOR ABELARDO CERQUEIRA CESAR BOTAFOGO CAMPINAS SAO PAULO 13032535 BRAZIL;RUA DOUTOR ABELARDO CERQUEIRA CESAR JARDIM BONFIM CAMPINAS SP 13032535 BRASIL;13032535;13032535;13032535;-22,90638166;-47,08304207;-22,90635695;-47,08299175;-22,90639;-47,08304
VIELA ABELARDO JOSE DOS SANTOS JARDIM SANTO ANTONIO CAMPINAS SP 13054806 BRASIL;13054806;13054 CAMPINAS SAO PAULO;RUA JOSE DOS SANTOS AVENIDA ANTONIO CARVALHO DE MIRANDA NUCLEO RESIDENCIAL JARDIM CAMPOS ELISIOS CAMPINAS SAO PAULO 13033090 BRAZIL;RUA ANTONIO NUNES DOS SANTOS JARDIM PACAEMBU CAMPINAS SP 13033210 BRASIL;NA;13033090;13033210;-23,02533558;-47,079515;-22,91139655;-47,09758805;-22,90252;-47,10632
